age,priors_count,length_of_stay,c_charge_degree_F,sex_Female,race,risk
54,3,2,0,0,0,1
33,6,1,0,0,1,1
30,7,1,1,0,1,1
66,1,0,1,0,0,1
21,1,1,0,0,1,1
20,0,0,1,0,1,1
25,9,84,1,0,1,0
24,0,22,1,0,1,1
41,0,0,0,0,0,1
25,2,64,0,0,0,1
22,0,0,0,0,0,1
28,4,0,1,1,1,1
54,4,1,1,0,1,1
36,13,33,1,1,1,0
26,10,0,0,0,0,0
41,0,0,0,0,0,1
28,8,3,1,0,1,1
34,3,33,1,0,1,1
45,0,1,1,0,0,1
39,22,3,1,1,1,0
27,5,37,0,0,1,0
24,6,1,1,0,1,1
28,1,0,1,1,0,1
60,1,0,1,0,0,1
24,0,0,0,1,0,0
31,19,0,1,0,0,1
40,0,2,0,1,0,1
29,0,0,0,1,0,1
37,0,19,1,0,0,1
38,0,0,0,1,0,1
22,3,0,1,0,1,1
32,1,0,0,0,1,1
27,7,4,1,0,1,0
22,0,-1,1,0,1,1
45,0,3,0,0,0,1
33,0,1,0,0,0,1
24,0,0,1,0,1,1
35,0,0,1,0,0,1
23,6,1,1,0,1,0
35,10,22,1,0,1,1
28,18,0,1,0,1,0
34,0,1,0,1,1,1
35,5,0,1,1,1,1
21,0,4,1,0,0,0
24,3,35,1,0,0,1
25,14,7,1,0,1,0
24,6,1,1,0,1,0
27,0,1,1,0,1,1
27,1,0,1,0,1,1
56,2,49,0,1,0,1
26,0,1,0,0,1,1
44,9,25,1,0,1,0
34,0,1,1,0,0,1
32,0,0,0,0,0,1
46,4,8,1,0,1,1
36,6,0,1,0,0,1
33,1,0,1,1,1,1
28,5,3,1,0,1,1
23,10,70,1,0,0,1
24,0,0,1,1,0,1
27,0,27,1,0,0,0
25,6,0,0,0,1,1
34,4,1,1,0,0,1
26,0,0,0,0,1,1
24,3,-1,1,0,1,0
25,1,1,1,0,1,1
34,1,1,1,0,1,1
20,0,0,1,1,0,1
24,1,57,1,0,1,1
41,0,3,1,0,0,1
22,2,1,1,0,1,1
30,1,33,1,0,0,0
32,0,1,0,0,0,1
36,1,2,1,0,0,1
26,2,0,1,0,1,0
24,5,1,1,0,0,1
36,2,0,0,0,0,1
40,0,4,1,0,1,0
28,1,38,1,1,1,0
45,13,0,1,0,1,1
23,3,3,1,0,0,1
25,0,1,0,0,0,1
61,14,1,0,0,1,1
35,0,0,0,1,1,1
52,0,0,1,1,1,1
24,8,0,1,0,1,0
26,4,1,1,0,1,1
28,1,1,1,0,0,1
48,0,2,1,0,0,1
28,21,1,1,0,1,0
26,20,29,1,0,1,0
23,0,2,1,0,1,1
40,0,22,1,0,0,1
24,2,1,1,0,1,1
40,2,100,0,1,1,1
22,0,0,0,1,1,1
21,0,0,1,0,0,0
42,1,-1,0,0,0,1
21,2,28,1,0,1,1
34,3,1,0,0,1,0
32,0,1,0,0,1,1
28,6,2,1,0,1,0
25,1,0,1,0,1,1
29,0,1,1,0,1,1
27,9,0,1,0,1,0
21,0,1,1,0,1,0
54,0,0,1,0,0,1
31,0,1,0,1,1,1
21,0,1,0,0,1,0
40,0,29,0,0,0,0
25,5,4,1,0,1,0
23,0,1,1,1,0,1
35,0,0,0,1,0,1
32,2,0,0,0,0,1
52,1,3,1,0,0,1
37,4,0,0,0,0,1
40,9,0,1,0,0,0
30,13,474,1,0,1,0
21,0,0,1,0,1,0
37,2,0,1,0,0,1
32,3,0,1,1,1,1
30,11,2,1,0,1,0
24,2,0,1,0,1,1
36,0,0,1,0,0,1
37,8,1,1,0,1,1
41,8,65,1,1,1,0
42,0,6,0,0,1,1
35,2,1,1,0,1,1
37,0,0,1,0,1,0
28,9,1,0,0,1,1
30,1,0,0,1,0,1
52,1,0,1,0,0,1
32,4,1,0,0,1,1
45,12,3,0,0,1,0
38,0,1,0,1,1,1
56,0,6,1,0,1,1
57,4,257,1,1,0,1
32,0,10,0,1,0,1
30,2,0,0,0,0,1
22,0,0,0,0,0,1
23,0,0,1,1,1,1
46,2,3,1,1,0,1
23,2,1,1,0,1,0
30,1,1,0,0,0,1
34,4,31,1,0,0,1
46,6,22,1,0,0,1
48,0,0,0,0,0,1
25,0,0,0,0,1,1
33,0,1,1,0,0,1
35,13,0,1,0,1,0
21,0,0,1,1,0,1
21,1,5,1,0,0,1
30,1,35,0,0,0,1
55,3,69,0,0,1,1
38,1,0,0,0,0,1
46,13,141,1,0,0,1
40,4,5,1,1,0,1
55,0,0,1,0,0,1
24,8,37,1,0,0,0
25,0,0,1,0,0,1
35,0,2,0,1,1,1
23,0,3,1,1,1,1
27,10,1,1,0,1,1
31,9,0,0,0,1,1
22,0,0,0,0,1,1
21,0,0,1,0,1,1
31,6,1,0,0,0,1
56,0,-1,1,0,0,1
28,5,0,1,0,0,1
46,0,0,1,0,1,1
52,2,3,1,0,1,1
20,1,0,1,0,1,1
40,0,1,1,1,0,1
21,0,1,1,0,0,1
29,6,0,1,0,1,0
25,0,9,1,0,1,0
55,17,25,1,0,1,0
56,4,7,1,0,0,1
26,2,7,1,0,1,1
33,0,10,0,0,0,1
69,6,1,1,0,0,1
27,2,1,1,0,1,0
53,0,11,1,0,0,1
23,3,0,1,1,1,1
35,7,28,1,0,1,1
41,1,29,0,1,0,1
43,7,0,1,0,1,1
21,0,7,1,0,0,0
38,37,30,0,0,1,1
23,3,0,0,0,1,1
52,5,6,1,0,0,1
59,0,0,0,1,1,1
27,3,6,0,0,1,1
53,0,0,0,0,0,1
23,0,1,1,0,1,1
51,0,1,1,0,0,1
20,0,0,1,1,1,1
55,1,2,0,1,1,1
22,1,17,0,1,0,0
40,2,1,1,0,1,1
24,0,0,0,1,1,1
27,2,1,1,0,1,1
35,4,13,1,1,0,1
45,1,0,0,0,0,1
48,10,4,1,0,1,1
32,11,1,1,0,1,1
34,7,0,1,0,1,1
53,1,0,0,1,0,1
26,2,33,1,0,1,1
39,8,31,1,1,0,1
33,10,1,0,0,0,1
48,0,0,0,1,1,1
21,1,0,1,0,1,1
51,6,0,1,0,0,1
31,0,0,0,1,0,1
31,4,0,1,1,1,0
41,2,23,1,1,1,1
27,6,0,1,0,1,1
41,18,33,0,0,1,0
47,1,0,0,0,0,1
29,2,1,1,0,0,1
26,2,0,1,0,1,1
51,3,1,1,0,0,1
56,7,194,1,0,0,1
26,2,148,1,0,1,1
47,0,1,0,0,0,1
33,0,0,0,1,0,1
25,3,5,1,0,1,1
20,2,1,1,0,1,1
39,2,1,1,0,0,1
55,21,85,1,0,1,1
41,0,1,1,0,0,1
26,0,1,1,0,0,1
38,0,1,1,0,1,1
39,0,2,0,0,0,1
59,3,8,1,0,1,1
28,0,0,1,1,1,1
30,8,1,1,0,1,0
54,0,-1,0,0,0,1
33,0,0,1,0,0,1
22,3,1,0,0,1,0
23,0,1,0,0,0,1
37,4,1,1,0,1,1
45,1,2,1,0,1,1
27,3,12,1,0,1,1
39,0,0,0,0,1,1
27,5,0,1,0,1,0
36,0,5,1,0,0,1
27,11,3,1,0,1,0
21,0,0,1,1,1,1
34,12,34,1,0,1,1
39,16,35,1,0,0,0
29,4,355,1,0,1,0
24,0,0,1,0,1,1
23,0,0,0,0,0,1
24,6,26,1,1,1,0
29,1,0,1,0,0,1
31,5,0,0,0,1,1
25,21,117,1,0,1,0
29,2,0,1,0,0,1
37,3,29,1,1,1,1
21,3,0,1,0,1,0
21,1,11,1,0,0,1
28,0,1,1,0,1,1
30,18,1,0,0,1,0
28,2,0,1,0,0,1
29,5,258,1,0,0,1
58,0,1,1,1,0,1
38,0,1,1,0,1,1
21,1,0,1,0,0,1
43,6,0,0,0,0,1
31,0,21,0,0,1,1
39,1,4,1,0,1,1
21,2,0,1,0,1,0
29,10,7,1,1,0,1
23,3,35,0,0,0,0
28,0,0,0,1,1,1
23,4,0,1,0,0,1
31,1,1,0,1,1,1
35,1,0,1,0,1,1
42,17,51,0,0,1,1
52,0,0,0,0,0,1
28,8,0,0,0,1,1
21,0,0,1,0,0,1
45,19,1,1,0,0,1
51,15,34,1,0,1,0
43,3,1,1,0,1,1
36,1,1,0,1,0,1
52,0,0,1,0,0,1
25,0,1,0,0,1,1
26,1,1,1,0,0,1
32,4,0,1,1,0,1
32,8,7,0,1,0,1
28,14,20,0,0,1,1
24,5,1,1,0,1,0
35,2,-1,1,0,1,1
31,2,117,0,1,0,1
21,0,1,1,1,1,0
32,9,4,0,0,0,1
27,1,0,1,0,0,1
57,28,2,1,0,1,0
56,3,14,0,0,1,1
34,0,10,1,0,1,1
29,12,12,1,0,1,0
30,14,2,1,0,1,0
45,21,1,1,0,0,1
54,3,0,1,0,0,1
41,13,2,1,0,1,1
23,3,9,1,0,0,1
49,0,0,1,0,0,1
35,3,9,1,0,0,1
36,1,0,0,1,1,1
26,10,2,1,0,1,0
22,3,1,1,0,1,1
26,0,0,1,0,1,1
25,4,0,1,1,1,1
37,1,2,1,0,0,1
42,5,6,0,1,0,1
24,3,1,1,1,1,0
22,2,24,0,0,0,1
51,0,0,0,0,0,1
56,13,6,1,0,0,1
24,2,0,1,0,1,1
22,0,0,1,0,0,1
36,0,1,0,0,1,1
28,18,12,1,0,1,0
21,0,0,0,0,0,1
67,2,0,0,0,0,1
50,8,172,1,0,0,1
24,0,1,1,0,1,1
21,0,2,1,0,1,1
42,1,292,1,0,0,1
22,3,16,1,0,1,1
24,0,0,0,0,0,1
31,3,19,0,0,1,0
57,0,-1,0,0,0,1
40,0,0,1,1,0,1
23,1,0,1,1,1,1
41,0,0,0,0,1,1
30,3,0,1,1,1,1
21,0,46,1,0,1,1
23,0,1,1,0,1,1
22,0,1,1,0,1,1
23,0,1,0,1,1,1
27,0,1,0,0,1,1
53,6,0,1,0,1,1
43,0,1,1,0,1,1
33,0,0,1,0,1,1
20,0,30,1,0,1,0
24,1,0,1,0,1,1
54,2,0,1,1,0,1
53,3,2,0,0,0,1
32,7,1,1,0,0,1
32,0,-1,0,1,1,1
29,7,1,1,0,0,0
28,0,-1,1,0,0,1
25,0,90,1,0,1,1
21,0,1,1,1,1,0
22,1,103,1,0,1,0
24,1,1,1,0,0,1
22,3,323,1,0,1,0
29,0,1,1,0,1,1
42,0,1,1,0,1,1
26,5,1,1,0,0,1
65,0,0,1,1,1,1
26,0,2,0,0,0,1
25,10,7,1,0,0,0
48,0,0,0,1,0,1
21,0,2,1,0,0,1
29,0,0,1,1,1,1
26,8,26,0,0,1,1
23,0,0,1,0,1,1
30,0,1,1,0,0,1
22,1,43,1,0,1,1
61,0,2,0,0,0,1
23,3,1,1,0,1,1
26,0,1,1,0,1,1
22,0,1,1,0,1,1
43,2,1,0,0,0,1
33,0,1,0,1,1,1
23,0,3,0,0,1,0
23,0,1,1,1,1,1
28,3,0,0,0,0,1
29,0,0,0,0,1,1
31,13,0,0,0,1,0
20,0,3,0,0,0,1
23,2,71,1,0,1,0
27,0,0,0,0,1,1
31,0,9,0,0,0,1
33,0,37,1,0,1,0
42,0,1,1,0,0,1
36,6,0,0,0,1,1
37,3,241,1,0,0,0
34,6,0,1,1,1,1
49,2,1,0,0,0,1
26,0,1,1,0,1,0
28,5,2,0,1,1,0
44,10,5,1,1,0,1
29,0,0,1,1,0,1
26,1,0,1,1,0,0
47,1,17,1,0,0,1
52,6,1,0,0,1,1
22,3,2,1,0,0,1
32,4,3,1,0,1,0
32,0,0,0,0,1,1
20,1,40,1,0,0,1
34,5,0,1,1,0,1
27,1,44,1,1,1,1
79,1,1,0,0,0,1
40,0,0,0,0,0,1
62,0,1,0,0,0,1
51,0,1,0,0,0,1
55,0,5,0,0,0,1
20,0,0,0,1,0,1
45,6,241,1,0,0,1
37,3,0,0,0,1,1
29,1,3,1,0,1,1
23,2,3,0,0,1,1
27,8,49,1,0,1,1
26,7,1,1,0,1,0
33,1,1,0,1,1,1
24,0,0,1,1,0,1
39,3,13,1,0,0,1
26,1,0,0,0,0,1
29,1,0,0,0,0,0
35,1,0,0,1,0,1
27,1,8,1,0,1,1
39,10,0,1,1,0,1
42,7,1,1,0,1,0
25,9,12,1,0,1,1
51,2,1,0,0,1,1
27,4,0,1,0,1,1
51,0,0,0,1,0,1
30,0,0,1,0,0,1
33,0,0,0,1,0,1
21,0,8,1,0,1,0
25,0,0,1,0,1,1
28,1,0,1,1,1,1
23,0,2,0,0,0,1
26,7,19,1,0,1,1
29,0,0,0,0,0,1
46,9,4,0,0,0,1
23,1,27,0,0,1,1
27,0,4,0,0,0,1
22,5,0,0,0,0,1
29,17,15,1,0,1,0
56,2,2,1,0,0,1
28,3,0,1,0,1,1
37,11,0,1,0,0,0
23,0,1,1,0,0,1
25,0,1,1,0,1,1
37,4,0,0,0,0,1
42,10,0,0,0,1,1
27,6,0,1,0,1,1
47,4,0,1,0,1,1
51,0,0,0,1,0,1
27,4,0,1,1,1,1
35,13,4,1,0,0,1
26,20,43,1,0,1,0
47,0,1,0,0,1,1
58,2,4,1,0,0,1
53,1,11,1,0,0,1
23,2,1,0,0,1,1
25,0,0,0,1,0,1
24,1,33,1,0,1,1
66,33,13,1,0,1,1
22,1,4,1,0,1,0
26,0,0,0,0,0,1
27,2,1,0,0,0,1
33,2,1,1,0,0,1
24,3,6,0,0,1,1
40,23,31,0,0,1,1
44,0,1,0,0,0,1
23,4,2,0,0,0,0
27,6,0,0,0,1,0
54,3,2,1,0,1,1
50,7,1,1,0,1,1
31,0,0,1,0,0,1
27,0,0,0,1,0,1
20,2,23,1,1,1,0
21,0,0,1,0,0,1
21,0,0,0,0,0,1
30,0,0,0,0,1,1
45,15,330,1,0,1,0
25,0,-1,1,0,1,0
23,6,34,0,0,0,0
37,5,6,0,0,1,1
34,21,33,1,0,1,0
34,1,-1,0,0,0,1
23,3,0,1,0,1,0
29,4,0,0,0,0,1
47,0,1,0,0,0,1
51,1,1,0,0,0,1
21,0,0,1,0,0,1
29,1,13,1,1,0,1
30,11,1,0,0,1,0
29,0,1,1,0,1,0
56,1,2,1,0,1,1
24,0,1,0,0,1,1
24,3,0,1,0,1,1
51,1,3,1,0,0,1
49,1,12,1,0,0,1
24,0,0,1,0,1,0
35,4,1,1,0,0,1
40,8,0,0,0,1,1
24,1,1,0,0,1,1
26,6,4,1,0,1,0
24,1,24,0,0,1,1
26,0,0,1,1,0,1
37,0,1,0,0,0,1
22,2,1,1,0,1,1
36,4,2,0,1,0,1
32,0,24,1,0,1,1
26,3,33,1,0,1,0
26,8,0,1,0,1,0
38,7,197,0,0,1,1
45,13,6,0,0,1,1
57,0,0,0,0,1,1
44,0,1,0,0,0,1
30,4,1,1,1,1,1
27,0,-1,0,0,0,1
29,6,26,1,0,1,1
38,1,7,1,0,1,1
33,12,2,1,0,1,0
40,0,1,1,0,0,1
41,3,1,0,0,0,1
67,0,1,1,1,1,1
20,0,0,1,1,0,0
39,6,26,1,0,0,1
21,0,1,1,0,1,0
31,6,31,1,0,1,0
52,3,13,1,0,0,1
31,4,29,1,0,0,0
46,0,1,1,0,0,1
31,4,0,1,0,1,1
24,3,0,0,0,1,1
63,1,1,1,0,1,1
24,1,1,0,0,1,1
33,5,1,0,0,1,0
32,15,70,1,0,0,0
25,4,183,1,0,0,1
34,3,0,1,0,1,1
35,12,10,1,0,0,0
57,0,2,1,0,0,1
26,8,41,1,0,0,0
28,1,1,1,0,0,1
27,2,39,1,0,1,0
52,0,2,1,1,1,1
45,0,0,0,0,1,1
24,4,1,1,0,1,1
24,0,1,0,0,1,1
29,0,0,0,0,1,1
38,0,0,0,0,0,1
21,1,108,1,0,1,0
31,6,48,0,0,1,1
21,0,3,1,0,1,1
32,2,0,1,0,0,1
43,8,348,1,0,1,1
36,1,0,0,1,1,1
50,0,0,1,0,0,1
23,1,1,1,1,1,1
42,0,281,1,1,0,1
44,1,4,0,1,0,1
51,17,0,1,0,1,0
53,1,1,0,0,0,1
21,0,0,1,0,0,1
23,1,9,1,0,1,0
27,11,5,1,0,1,1
26,2,0,0,1,1,1
34,1,0,0,0,0,1
25,5,14,0,0,0,0
36,0,12,1,1,1,1
42,1,4,1,0,1,1
44,6,2,1,0,0,1
22,0,0,1,0,0,1
41,8,1,1,0,1,1
23,0,0,0,0,0,1
31,13,1,1,0,1,0
42,17,32,1,0,1,0
30,7,2,0,0,1,0
55,7,0,1,0,0,0
47,14,31,0,0,1,1
26,0,0,1,0,0,1
28,1,15,1,0,1,1
38,1,1,0,1,0,1
25,5,1,0,0,1,0
23,0,45,1,0,0,1
27,2,7,0,0,1,1
35,12,0,1,0,1,0
22,3,1,0,1,1,0
37,8,14,1,0,1,1
27,0,9,1,0,1,1
28,14,0,1,0,1,1
33,3,0,1,0,1,1
35,0,-1,1,1,0,1
50,5,5,1,0,0,1
50,1,0,0,0,0,1
35,7,1,1,0,1,1
29,3,1,0,0,1,1
31,1,0,1,1,0,1
20,0,8,1,0,0,1
27,4,0,1,0,0,1
24,7,1,1,1,1,0
45,0,-1,0,0,0,1
20,0,1,1,0,0,1
55,1,9,1,0,1,1
35,8,8,0,0,1,1
29,0,1,1,0,0,1
26,0,0,0,0,1,1
41,3,2,0,0,1,1
25,4,33,1,0,0,0
29,1,99,0,0,1,1
29,6,1,1,0,1,1
21,0,0,0,0,0,1
40,20,1,1,0,1,1
21,2,8,1,0,1,1
28,7,0,1,0,1,0
23,2,1,1,0,1,1
31,0,0,1,0,1,1
78,1,0,0,0,0,1
24,4,4,1,0,1,1
30,8,0,1,0,1,1
21,0,-1,1,0,0,1
35,23,1,1,0,1,0
57,1,19,1,0,0,1
58,0,1,1,1,0,1
29,1,0,0,1,1,1
57,0,6,1,0,0,1
24,3,93,1,0,1,1
60,2,1,1,1,0,1
41,7,0,1,0,1,1
24,5,6,1,0,1,0
39,13,1,1,0,1,0
50,1,40,0,0,0,1
20,0,2,1,0,1,1
31,2,33,0,0,0,1
29,6,0,1,0,1,1
33,0,1,1,1,1,1
49,8,8,1,1,0,1
48,0,1,1,0,0,1
47,0,0,0,0,1,1
58,0,2,1,0,1,1
38,2,1,0,0,0,1
31,4,5,1,0,0,1
39,8,40,1,0,1,1
25,14,0,1,1,0,1
23,0,1,1,0,1,1
38,0,1,0,1,1,1
26,1,1,1,0,1,1
26,1,1,1,1,1,1
24,4,1,1,0,1,1
41,0,0,0,1,1,1
30,14,5,1,0,1,1
40,1,1,1,0,0,1
42,0,0,1,0,1,1
26,0,0,0,0,1,1
36,1,0,0,1,0,1
37,3,2,0,0,0,1
24,0,1,0,0,0,1
29,14,0,1,0,0,0
64,0,4,1,0,1,1
25,5,236,1,0,1,0
31,3,0,0,0,0,1
20,1,1,1,1,1,1
24,0,15,1,0,0,1
38,3,1,1,0,1,1
26,2,4,1,0,1,1
24,0,0,0,0,0,1
20,1,1,1,0,1,0
42,0,0,1,1,1,1
53,13,91,1,0,1,1
41,5,0,0,0,1,1
61,8,30,1,1,0,1
36,6,84,1,0,1,1
46,1,10,1,0,0,1
35,1,1,1,0,1,1
37,5,10,1,0,0,1
36,1,31,1,0,1,0
29,2,0,0,0,0,1
48,1,0,1,1,1,1
20,1,1,1,0,0,1
21,0,4,1,1,1,1
20,0,3,1,0,1,1
37,3,1,1,0,1,1
24,3,0,1,0,0,0
41,1,113,0,0,0,1
20,0,2,0,0,1,1
35,1,0,1,0,1,0
24,0,0,1,1,0,1
23,2,6,1,0,1,1
23,1,0,0,0,0,1
27,10,1,1,0,1,0
48,3,0,1,0,0,1
21,0,0,0,1,1,1
23,1,1,1,0,1,1
37,0,0,0,0,1,1
33,7,78,1,0,1,1
25,7,20,1,0,1,0
39,1,1,1,0,1,1
47,3,13,1,0,0,1
31,10,181,1,0,1,1
46,1,0,0,0,0,1
27,0,6,0,1,1,0
32,6,0,0,0,0,1
34,0,108,1,0,0,1
29,1,1,0,1,1,1
29,3,1,0,0,1,1
58,0,0,1,0,0,1
25,0,0,1,0,1,1
19,2,14,1,0,1,0
39,1,14,1,0,0,1
27,6,1,1,0,0,1
40,0,2,0,0,1,1
45,1,2,1,1,0,1
22,1,0,1,0,1,1
26,5,33,1,1,1,1
52,0,1,1,0,1,1
41,7,58,1,0,1,0
27,4,1,0,0,1,1
42,1,51,1,0,0,1
40,0,64,1,0,0,1
22,1,2,1,1,0,1
46,0,0,1,0,0,1
47,1,1,0,0,1,1
36,11,2,0,0,0,1
29,0,1,0,0,0,1
31,6,3,1,0,0,1
32,4,-1,1,0,0,1
25,0,2,0,1,0,1
21,0,5,1,0,1,0
51,0,5,0,0,1,1
34,0,31,1,1,0,0
45,1,-1,0,0,0,1
20,0,4,0,1,1,1
26,1,0,1,0,1,1
30,12,9,1,0,1,0
26,2,0,1,0,1,1
35,4,31,0,0,0,1
31,2,1,1,1,0,1
23,2,1,0,1,0,1
62,0,3,0,1,0,1
26,1,14,0,0,1,1
24,2,1,0,0,1,1
23,4,2,1,0,0,0
51,6,18,0,0,0,1
21,1,0,1,0,1,1
57,0,0,1,0,0,1
31,5,0,1,0,0,1
53,0,0,0,0,0,1
49,3,0,1,1,0,1
31,15,-1,1,0,1,0
44,0,11,1,0,0,1
38,3,1,1,0,0,0
24,3,39,1,0,0,1
36,1,39,0,0,0,0
21,0,2,1,0,0,1
42,1,0,1,0,0,1
23,0,0,0,0,0,1
58,0,1,0,0,1,1
26,5,0,1,0,1,1
21,0,1,1,1,1,0
21,1,59,1,0,1,0
38,0,0,0,0,0,1
55,1,4,0,0,0,1
35,0,1,0,0,0,1
40,0,1,1,0,1,1
39,0,3,1,0,0,1
45,0,13,1,0,0,1
21,0,1,0,0,0,1
28,2,2,0,0,1,1
21,1,12,1,0,0,0
35,3,1,0,0,0,1
21,0,4,0,0,0,1
23,0,0,0,0,1,0
38,0,0,1,1,0,1
28,0,53,1,0,0,1
28,4,2,1,0,1,1
36,0,280,1,0,1,1
26,24,85,0,0,1,0
44,8,4,0,0,0,1
29,1,43,0,0,0,1
39,1,0,0,0,0,1
27,0,4,1,0,0,1
28,2,49,1,0,0,1
26,1,7,0,0,1,1
32,1,0,0,0,0,1
25,7,0,1,0,1,0
35,1,0,0,1,1,1
20,2,16,1,0,1,1
25,5,3,0,0,1,0
25,0,0,0,0,0,1
35,13,5,1,0,1,0
39,0,0,0,0,0,1
23,3,5,1,1,0,0
24,0,0,1,0,0,1
23,4,192,1,0,1,0
20,0,0,1,0,1,0
31,1,1,1,0,1,1
21,1,-1,1,0,0,0
21,2,140,1,0,1,0
72,1,1,0,0,0,1
59,0,0,0,1,0,1
40,5,0,1,0,0,1
20,0,0,1,1,0,1
48,0,17,1,1,0,1
20,0,0,0,0,0,1
27,8,68,1,0,0,1
27,2,1,0,0,1,0
66,0,0,0,0,0,1
28,0,1,1,0,0,1
69,0,0,1,0,0,1
29,3,0,1,0,1,0
42,4,0,0,1,0,1
24,2,1,1,0,1,1
22,3,1,1,0,0,0
22,0,-1,1,0,1,1
43,0,0,0,0,0,1
39,2,0,0,0,0,1
50,7,7,0,1,0,1
46,0,1,1,0,0,1
41,0,3,1,0,1,1
43,0,1,0,0,0,1
26,5,6,1,1,1,0
